# TEST CONFIGURATION BEGIN
# FileStream(filename='df_train.csv', target_idx=-1, n_targets=1, cat_features=None)
# [arf_PageHinkley] AdaptiveRandomForestClassifier(binary_split=False, disable_weighted_vote=False, drift_detection_method=PageHinkley(alpha=0.9999, delta=0.005, min_instances=30, threshold=50), grace_period=50, lambda_value=6, leaf_prediction='nba', max_byte_size=33554432, max_features='auto', memory_estimate_period=2000000, n_estimators=10, nb_threshold=0, no_preprune=False, nominal_attributes=None, performance_metric='acc', random_state=None, remove_poor_atts=False, split_confidence=0.01, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05, warning_detection_method=PageHinkley(alpha=0.9999, delta=0.005, min_instances=30, threshold=50))
# [arf_ADWIN] AdaptiveRandomForestClassifier(binary_split=False, disable_weighted_vote=False, drift_detection_method=ADWIN(delta=0.002), grace_period=50, lambda_value=6, leaf_prediction='nba', max_byte_size=33554432, max_features='auto', memory_estimate_period=2000000, n_estimators=10, nb_threshold=0, no_preprune=False, nominal_attributes=None, performance_metric='acc', random_state=None, remove_poor_atts=False, split_confidence=0.01, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05, warning_detection_method=ADWIN(delta=0.002))
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=359935, max_time=inf, metrics=['accuracy', 'f1'], n_wait=200, output_file='results_train.csv', pretrain_size=1000, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[arf_PageHinkley],current_acc_[arf_PageHinkley],mean_acc_[arf_ADWIN],current_acc_[arf_ADWIN],mean_f1_[arf_PageHinkley],current_f1_[arf_PageHinkley],mean_f1_[arf_ADWIN],current_f1_[arf_ADWIN]
10999,0.994000,1.000000,0.994200,1.000000,0.995847,1.000000,0.995984,1.000000
11199,0.994118,1.000000,0.994314,1.000000,0.995959,1.000000,0.996092,1.000000
11399,0.994231,1.000000,0.994423,1.000000,0.996065,1.000000,0.996195,1.000000
11599,0.994057,0.985000,0.994151,0.980000,0.995874,0.869565,0.995939,0.833333
11799,0.994167,1.000000,0.994259,1.000000,0.995874,0.000000,0.995939,0.000000
11999,0.994273,1.000000,0.994364,1.000000,0.995874,0.000000,0.995939,0.000000
12199,0.994375,1.000000,0.994464,1.000000,0.995874,0.000000,0.995939,0.000000
12399,0.994123,0.980000,0.994035,0.970000,0.995626,0.916667,0.995559,0.869565
12599,0.994224,1.000000,0.994138,1.000000,0.995737,1.000000,0.995672,1.000000
12799,0.994322,1.000000,0.994237,1.000000,0.995843,1.000000,0.995780,1.000000
12999,0.994417,1.000000,0.994333,1.000000,0.995944,1.000000,0.995882,1.000000
13199,0.994508,1.000000,0.994426,1.000000,0.996039,1.000000,0.995979,1.000000
13399,0.994597,1.000000,0.994516,1.000000,0.996131,1.000000,0.996072,1.000000
13599,0.994683,1.000000,0.994603,1.000000,0.996218,1.000000,0.996161,1.000000
13799,0.994766,1.000000,0.994687,1.000000,0.996302,1.000000,0.996246,1.000000
13999,0.994846,1.000000,0.994769,1.000000,0.996382,1.000000,0.996327,1.000000
14199,0.994924,1.000000,0.994848,1.000000,0.996458,1.000000,0.996404,1.000000
14399,0.995000,1.000000,0.994925,1.000000,0.996532,1.000000,0.996479,1.000000
14599,0.995074,1.000000,0.995000,1.000000,0.996602,1.000000,0.996550,1.000000
14799,0.995145,1.000000,0.995072,1.000000,0.996669,1.000000,0.996619,1.000000
14999,0.995214,1.000000,0.995143,1.000000,0.996734,1.000000,0.996685,1.000000
15199,0.995282,1.000000,0.995211,1.000000,0.996797,1.000000,0.996748,1.000000
15399,0.995069,0.980000,0.994861,0.970000,0.996664,0.989011,0.996522,0.983607
15599,0.995137,1.000000,0.994932,1.000000,0.996664,0.000000,0.996522,0.000000
15799,0.995203,1.000000,0.995000,1.000000,0.996664,0.000000,0.996522,0.000000
15999,0.995267,1.000000,0.995067,1.000000,0.996664,0.000000,0.996522,0.000000
16199,0.995132,0.985000,0.994934,0.985000,0.996554,0.984615,0.996414,0.984615
16399,0.995195,1.000000,0.995000,1.000000,0.996617,1.000000,0.996480,1.000000
16599,0.995256,1.000000,0.995064,1.000000,0.996678,1.000000,0.996543,1.000000
16799,0.995316,1.000000,0.995127,1.000000,0.996737,1.000000,0.996604,1.000000
16999,0.995375,1.000000,0.995188,1.000000,0.996793,1.000000,0.996663,1.000000
17199,0.995432,1.000000,0.995247,1.000000,0.996848,1.000000,0.996720,1.000000
17399,0.995488,1.000000,0.995305,1.000000,0.996901,1.000000,0.996775,1.000000
17599,0.995542,1.000000,0.995361,1.000000,0.996952,1.000000,0.996828,1.000000
17799,0.995595,1.000000,0.995417,1.000000,0.997001,1.000000,0.996879,1.000000
17999,0.995647,1.000000,0.995471,1.000000,0.997049,1.000000,0.996929,1.000000
18199,0.995698,1.000000,0.995523,1.000000,0.997095,1.000000,0.996977,1.000000
18399,0.995747,1.000000,0.995575,1.000000,0.997140,1.000000,0.997024,1.000000
18599,0.995795,1.000000,0.995625,1.000000,0.997184,1.000000,0.997069,1.000000
18799,0.995843,1.000000,0.995674,1.000000,0.997226,1.000000,0.997113,1.000000
18999,0.995889,1.000000,0.995722,1.000000,0.997267,1.000000,0.997156,1.000000
19199,0.995934,1.000000,0.995769,1.000000,0.997307,1.000000,0.997197,1.000000
19399,0.995978,1.000000,0.995815,1.000000,0.997345,1.000000,0.997237,1.000000
19599,0.996022,1.000000,0.995860,1.000000,0.997383,1.000000,0.997277,1.000000
19799,0.996064,1.000000,0.995904,1.000000,0.997419,1.000000,0.997315,1.000000
19999,0.996105,1.000000,0.995947,1.000000,0.997455,1.000000,0.997351,1.000000
20199,0.996146,1.000000,0.995990,1.000000,0.997489,1.000000,0.997387,1.000000
20399,0.996186,1.000000,0.996031,1.000000,0.997523,1.000000,0.997422,1.000000
20599,0.996224,1.000000,0.996071,1.000000,0.997556,1.000000,0.997456,1.000000
20799,0.996263,1.000000,0.996111,1.000000,0.997588,1.000000,0.997490,1.000000
20999,0.996300,1.000000,0.996150,1.000000,0.997619,1.000000,0.997522,1.000000
21199,0.996337,1.000000,0.996188,1.000000,0.997649,1.000000,0.997553,1.000000
21399,0.996373,1.000000,0.996225,1.000000,0.997679,1.000000,0.997584,1.000000
21599,0.996408,1.000000,0.996262,1.000000,0.997707,1.000000,0.997614,1.000000
21799,0.996442,1.000000,0.996298,1.000000,0.997735,1.000000,0.997643,1.000000
21999,0.996476,1.000000,0.996333,1.000000,0.997763,1.000000,0.997672,1.000000
22199,0.996509,1.000000,0.996368,1.000000,0.997789,1.000000,0.997700,1.000000
22399,0.996542,1.000000,0.996402,1.000000,0.997816,1.000000,0.997727,1.000000
22599,0.996574,1.000000,0.996435,1.000000,0.997841,1.000000,0.997753,1.000000
22799,0.996606,1.000000,0.996468,1.000000,0.997866,1.000000,0.997779,1.000000
22999,0.996636,1.000000,0.996500,1.000000,0.997890,1.000000,0.997805,1.000000
23199,0.996667,1.000000,0.996532,1.000000,0.997914,1.000000,0.997829,1.000000
23399,0.996696,1.000000,0.996563,1.000000,0.997937,1.000000,0.997854,1.000000
23599,0.996726,1.000000,0.996593,1.000000,0.997960,1.000000,0.997877,1.000000
23799,0.996754,1.000000,0.996623,1.000000,0.997982,1.000000,0.997900,1.000000
23999,0.996783,1.000000,0.996652,1.000000,0.998004,1.000000,0.997923,1.000000
24199,0.996810,1.000000,0.996681,1.000000,0.998025,1.000000,0.997945,1.000000
24399,0.996838,1.000000,0.996709,1.000000,0.998046,1.000000,0.997967,1.000000
24599,0.996864,1.000000,0.996737,1.000000,0.998067,1.000000,0.997988,1.000000
24799,0.996891,1.000000,0.996765,1.000000,0.998087,1.000000,0.998009,1.000000
24999,0.996917,1.000000,0.996792,1.000000,0.998106,1.000000,0.998029,1.000000
25199,0.996942,1.000000,0.996818,1.000000,0.998125,1.000000,0.998049,1.000000
25399,0.996967,1.000000,0.996844,1.000000,0.998144,1.000000,0.998069,1.000000
25599,0.996992,1.000000,0.996870,1.000000,0.998163,1.000000,0.998088,1.000000
25799,0.997016,1.000000,0.996895,1.000000,0.998181,1.000000,0.998107,1.000000
25999,0.997040,1.000000,0.996920,1.000000,0.998198,1.000000,0.998125,1.000000
26199,0.997063,1.000000,0.996944,1.000000,0.998216,1.000000,0.998143,1.000000
26399,0.997087,1.000000,0.996969,1.000000,0.998233,1.000000,0.998161,1.000000
26599,0.997109,1.000000,0.996992,1.000000,0.998250,1.000000,0.998179,1.000000
26799,0.997132,1.000000,0.997016,1.000000,0.998266,1.000000,0.998196,1.000000
26999,0.997154,1.000000,0.997038,1.000000,0.998282,1.000000,0.998212,1.000000
27199,0.997176,1.000000,0.997061,1.000000,0.998298,1.000000,0.998229,1.000000
27399,0.997197,1.000000,0.997083,1.000000,0.998313,1.000000,0.998245,1.000000
27599,0.997218,1.000000,0.997105,1.000000,0.998329,1.000000,0.998261,1.000000
